heure;habitat_collectif;restauration;commerces;bureaux
2343;0;5.52789264705882;1.07399057142857;5.47735191428571
2344;0;5.52789264705882;1.07399057142857;3.65156794285714
2345;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2346;467.78256;5.52789264705882;2.68497642857143;0
2347;267.30432;16.5836779411765;2.14798114285714;0
2348;133.65216;16.5836779411765;1.07399057142857;0
2349;0;44.2231411764706;0;0
2350;0;38.6952485294118;0;0
2351;0;22.1115705882353;0;0
2352;0;0;0;0
2353;0;0;0;0
2354;0;0;0;0
2355;0;0;0;0
2356;0;0;0;0
2357;0;0;0;0
2358;133.65216;0;0;1.82578397142857
2359;467.78256;0;0;1.82578397142857
2360;133.65216;0;0.536995285714286;5.47735191428571
2361;0;5.52789264705882;1.07399057142857;9.12891985714286
2362;0;5.52789264705882;1.07399057142857;7.30313588571428
2363;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2364;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2365;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2366;0;27.6394632352941;1.61098585714286;7.30313588571428
2367;0;5.52789264705882;1.07399057142857;5.47735191428571
2368;0;5.52789264705882;1.07399057142857;3.65156794285714
2369;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2370;467.78256;5.52789264705882;2.68497642857143;0
2371;267.30432;16.5836779411765;2.14798114285714;0
2372;133.65216;16.5836779411765;1.07399057142857;0
2373;0;44.2231411764706;0;0
2374;0;38.6952485294118;0;0
2375;0;22.1115705882353;0;0
2376;0;0;0;0
2377;0;0;0;0
2378;0;0;0;0
2379;0;0;0;0
2380;0;0;0;0
2381;0;0;0;0
2382;133.65216;0;0;1.82578397142857
2383;467.78256;0;0;1.82578397142857
2384;133.65216;0;0.536995285714286;5.47735191428571
2385;0;5.52789264705882;1.07399057142857;9.12891985714286
2386;0;5.52789264705882;1.07399057142857;7.30313588571428
2387;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2388;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2389;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2390;0;27.6394632352941;1.61098585714286;7.30313588571428
