,A3,,A1 habitations,,A1 bureau,,B2 habitations,,B2 bureau,,C1 habitations,,C1 restauration,,C1 dépôt,,C2 habitations,,C2 bureau,,D1 ferme,,D2 dépôt
A3,A3,A1 habitations,,A1 bureau,,B2 habitations,,B2 bureau,,C1 habitations,,C1 restauration,,C1 dépôt,,C2 habitations,,C2 bureau,,D1 ferme,,D2 dépôt,
#Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2]
Mercredi 2 Mars à 06h00,0,Mercredi 2 Mars à 06h00,2.8,Mercredi 2 Mars à 06h00,4,Mercredi 2 Mars à 06h00,3,Mercredi 2 Mars à 06h00,0,Mercredi 2 Mars à 06h00,0,Mercredi 2 Mars à 06h00,0,Mercredi 2 Mars à 06h00,0,Mercredi 2 Mars à 06h00,0,Mercredi 2 Mars à 06h00,0,Mercredi 2 Mars à 06h00,5.5,Mercredi 2 Mars à 06h00,0
Mercredi 2 Mars à 07h00,0,Mercredi 2 Mars à 07h00,2,Mercredi 2 Mars à 07h00,3.4,Mercredi 2 Mars à 07h00,2.1,Mercredi 2 Mars à 07h00,0,Mercredi 2 Mars à 07h00,0,Mercredi 2 Mars à 07h00,0,Mercredi 2 Mars à 07h00,0,Mercredi 2 Mars à 07h00,0,Mercredi 2 Mars à 07h00,0,Mercredi 2 Mars à 07h00,4.9,Mercredi 2 Mars à 07h00,0
Mercredi 2 Mars à 08h00,0,Mercredi 2 Mars à 08h00,0.5,Mercredi 2 Mars à 08h00,2.4,Mercredi 2 Mars à 08h00,0.8,Mercredi 2 Mars à 08h00,0,Mercredi 2 Mars à 08h00,0,Mercredi 2 Mars à 08h00,0,Mercredi 2 Mars à 08h00,0,Mercredi 2 Mars à 08h00,0,Mercredi 2 Mars à 08h00,0,Mercredi 2 Mars à 08h00,4,Mercredi 2 Mars à 08h00,0
Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0,Mercredi 2 Mars à 09h00,0
Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0,Mercredi 2 Mars à 10h00,0
Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0,Mercredi 2 Mars à 11h00,0
Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0,Mercredi 2 Mars à 12h00,0
Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0,Mercredi 2 Mars à 13h00,0
Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0,Mercredi 2 Mars à 14h00,0
Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0,Mercredi 2 Mars à 15h00,0
Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0,Mercredi 2 Mars à 16h00,0
Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0,Mercredi 2 Mars à 17h00,0
Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0,Mercredi 2 Mars à 18h00,0
Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0,Mercredi 2 Mars à 19h00,0
Mercredi 2 Mars à 20h00,12.3,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0,Mercredi 2 Mars à 20h00,0
Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0,Mercredi 2 Mars à 21h00,0
Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,0,Mercredi 2 Mars à 22h00,3.5,Mercredi 2 Mars à 22h00,0
Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,0,Mercredi 2 Mars à 23h00,4.2,Mercredi 2 Mars à 23h00,0
Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,0,Jeudi 3 Mars à 00h00,4.5,Jeudi 3 Mars à 00h00,0
Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,0,Jeudi 3 Mars à 01h00,4.9,Jeudi 3 Mars à 01h00,0
Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,0,Jeudi 3 Mars à 02h00,5.3,Jeudi 3 Mars à 02h00,0
Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,0,Jeudi 3 Mars à 03h00,5.7,Jeudi 3 Mars à 03h00,0
Jeudi 3 Mars à 04h00,0.5,Jeudi 3 Mars à 04h00,0,Jeudi 3 Mars à 04h00,2,Jeudi 3 Mars à 04h00,0,Jeudi 3 Mars à 04h00,0,Jeudi 3 Mars à 04h00,0,Jeudi 3 Mars à 04h00,0,Jeudi 3 Mars à 04h00,0,Jeudi 3 Mars à 04h00,1.7,Jeudi 3 Mars à 04h00,0,Jeudi 3 Mars à 04h00,6.1,Jeudi 3 Mars à 04h00,0
Jeudi 3 Mars à 05h00,1,Jeudi 3 Mars à 05h00,0,Jeudi 3 Mars à 05h00,4.6,Jeudi 3 Mars à 05h00,1.1,Jeudi 3 Mars à 05h00,0,Jeudi 3 Mars à 05h00,0,Jeudi 3 Mars à 05h00,0,Jeudi 3 Mars à 05h00,0,Jeudi 3 Mars à 05h00,4.8,Jeudi 3 Mars à 05h00,0,Jeudi 3 Mars à 05h00,6.4,Jeudi 3 Mars à 05h00,0
Jeudi 3 Mars à 06h00,1.2,Jeudi 3 Mars à 06h00,1.8,Jeudi 3 Mars à 06h00,4.9,Jeudi 3 Mars à 06h00,3.9,Jeudi 3 Mars à 06h00,0,Jeudi 3 Mars à 06h00,0,Jeudi 3 Mars à 06h00,0,Jeudi 3 Mars à 06h00,0,Jeudi 3 Mars à 06h00,5.2,Jeudi 3 Mars à 06h00,0,Jeudi 3 Mars à 06h00,6.8,Jeudi 3 Mars à 06h00,0
Jeudi 3 Mars à 07h00,1,Jeudi 3 Mars à 07h00,3.1,Jeudi 3 Mars à 07h00,4.4,Jeudi 3 Mars à 07h00,3.3,Jeudi 3 Mars à 07h00,0,Jeudi 3 Mars à 07h00,0,Jeudi 3 Mars à 07h00,0,Jeudi 3 Mars à 07h00,0,Jeudi 3 Mars à 07h00,4.5,Jeudi 3 Mars à 07h00,0,Jeudi 3 Mars à 07h00,6.4,Jeudi 3 Mars à 07h00,0
Jeudi 3 Mars à 08h00,0.7,Jeudi 3 Mars à 08h00,1.1,Jeudi 3 Mars à 08h00,3.2,Jeudi 3 Mars à 08h00,1.4,Jeudi 3 Mars à 08h00,0,Jeudi 3 Mars à 08h00,0,Jeudi 3 Mars à 08h00,0,Jeudi 3 Mars à 08h00,0,Jeudi 3 Mars à 08h00,2.4,Jeudi 3 Mars à 08h00,0,Jeudi 3 Mars à 08h00,5.2,Jeudi 3 Mars à 08h00,0
Jeudi 3 Mars à 09h00,0.4,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,0,Jeudi 3 Mars à 09h00,2.9,Jeudi 3 Mars à 09h00,0
Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0,Jeudi 3 Mars à 10h00,0
Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0,Jeudi 3 Mars à 11h00,0
Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0,Jeudi 3 Mars à 12h00,0
Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0,Jeudi 3 Mars à 13h00,0
Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0,Jeudi 3 Mars à 14h00,0
Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0,Jeudi 3 Mars à 15h00,0
Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0,Jeudi 3 Mars à 16h00,0
Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0,Jeudi 3 Mars à 17h00,0
Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0,Jeudi 3 Mars à 18h00,0
Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,0,Jeudi 3 Mars à 19h00,1.7,Jeudi 3 Mars à 19h00,0
Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,0,Jeudi 3 Mars à 20h00,4.3,Jeudi 3 Mars à 20h00,0
Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,0,Jeudi 3 Mars à 21h00,4.7,Jeudi 3 Mars à 21h00,0
Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,0,Jeudi 3 Mars à 22h00,5,Jeudi 3 Mars à 22h00,0
Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,0,Jeudi 3 Mars à 23h00,5.3,Jeudi 3 Mars à 23h00,0
Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,0,Vendredi 4 Mars à 00h00,5.5,Vendredi 4 Mars à 00h00,0
Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,0,Vendredi 4 Mars à 01h00,5.8,Vendredi 4 Mars à 01h00,0
Vendredi 4 Mars à 02h00,0,Vendredi 4 Mars à 02h00,0,Vendredi 4 Mars à 02h00,2.6,Vendredi 4 Mars à 02h00,0.9,Vendredi 4 Mars à 02h00,0,Vendredi 4 Mars à 02h00,0,Vendredi 4 Mars à 02h00,0,Vendredi 4 Mars à 02h00,0,Vendredi 4 Mars à 02h00,3.9,Vendredi 4 Mars à 02h00,0,Vendredi 4 Mars à 02h00,6.1,Vendredi 4 Mars à 02h00,0
Vendredi 4 Mars à 03h00,0,Vendredi 4 Mars à 03h00,0,Vendredi 4 Mars à 03h00,4.6,Vendredi 4 Mars à 03h00,3.6,Vendredi 4 Mars à 03h00,0,Vendredi 4 Mars à 03h00,0,Vendredi 4 Mars à 03h00,0,Vendredi 4 Mars à 03h00,0,Vendredi 4 Mars à 03h00,4.8,Vendredi 4 Mars à 03h00,0,Vendredi 4 Mars à 03h00,6.4,Vendredi 4 Mars à 03h00,0
Vendredi 4 Mars à 04h00,0,Vendredi 4 Mars à 04h00,2.5,Vendredi 4 Mars à 04h00,4.8,Vendredi 4 Mars à 04h00,3.8,Vendredi 4 Mars à 04h00,0,Vendredi 4 Mars à 04h00,0,Vendredi 4 Mars à 04h00,0,Vendredi 4 Mars à 04h00,0,Vendredi 4 Mars à 04h00,5,Vendredi 4 Mars à 04h00,0,Vendredi 4 Mars à 04h00,6.6,Vendredi 4 Mars à 04h00,0
Vendredi 4 Mars à 05h00,0,Vendredi 4 Mars à 05h00,3.8,Vendredi 4 Mars à 05h00,5,Vendredi 4 Mars à 05h00,4,Vendredi 4 Mars à 05h00,0,Vendredi 4 Mars à 05h00,2.2,Vendredi 4 Mars à 05h00,0,Vendredi 4 Mars à 05h00,0,Vendredi 4 Mars à 05h00,5.3,Vendredi 4 Mars à 05h00,0,Vendredi 4 Mars à 05h00,6.9,Vendredi 4 Mars à 05h00,0
Vendredi 4 Mars à 06h00,0.7,Vendredi 4 Mars à 06h00,4,Vendredi 4 Mars à 06h00,5.2,Vendredi 4 Mars à 06h00,4.2,Vendredi 4 Mars à 06h00,0,Vendredi 4 Mars à 06h00,5.6,Vendredi 4 Mars à 06h00,0,Vendredi 4 Mars à 06h00,0,Vendredi 4 Mars à 06h00,5.5,Vendredi 4 Mars à 06h00,0,Vendredi 4 Mars à 06h00,7.2,Vendredi 4 Mars à 06h00,0
Vendredi 4 Mars à 07h00,1.2,Vendredi 4 Mars à 07h00,3.3,Vendredi 4 Mars à 07h00,4.7,Vendredi 4 Mars à 07h00,3.5,Vendredi 4 Mars à 07h00,0,Vendredi 4 Mars à 07h00,4.8,Vendredi 4 Mars à 07h00,0,Vendredi 4 Mars à 07h00,0,Vendredi 4 Mars à 07h00,4.7,Vendredi 4 Mars à 07h00,0,Vendredi 4 Mars à 07h00,6.7,Vendredi 4 Mars à 07h00,0
Vendredi 4 Mars à 08h00,0.9,Vendredi 4 Mars à 08h00,1.6,Vendredi 4 Mars à 08h00,3.6,Vendredi 4 Mars à 08h00,1.9,Vendredi 4 Mars à 08h00,0,Vendredi 4 Mars à 08h00,3.1,Vendredi 4 Mars à 08h00,0,Vendredi 4 Mars à 08h00,0,Vendredi 4 Mars à 08h00,3,Vendredi 4 Mars à 08h00,0,Vendredi 4 Mars à 08h00,5.7,Vendredi 4 Mars à 08h00,0
Vendredi 4 Mars à 09h00,0.5,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0,Vendredi 4 Mars à 09h00,0
Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0,Vendredi 4 Mars à 10h00,0
Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0,Vendredi 4 Mars à 11h00,0
Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,0,Vendredi 4 Mars à 12h00,1.5,Vendredi 4 Mars à 12h00,0
Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,0,Vendredi 4 Mars à 13h00,1.9,Vendredi 4 Mars à 13h00,0
Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,0,Vendredi 4 Mars à 14h00,1.7,Vendredi 4 Mars à 14h00,0
Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,0,Vendredi 4 Mars à 15h00,1.8,Vendredi 4 Mars à 15h00,0
Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0,Vendredi 4 Mars à 16h00,0
